entry_id,line_number,entry_date,timestamp,entity_id,cost_center_id,account_code,account_name,financial_statement,financial_class,entry_type,currency_code,amount_local,exchange_rate_to_usd,amount_usd,document_reference,description
GL-2024-00000006,1,2024-01-01,2024-01-01 00:31:31,ENT-04,CC-100,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,VES,599807.76,0.027863444255095928,16712.71,DOC-2401-386035,Liquidación y cobro de factura por transferencia ref: DOC-2401-386035
GL-2024-00000006,2,2024-01-01,2024-01-01 00:31:31,ENT-04,CC-100,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,CREDIT,VES,599807.76,0.027863444255095928,16712.71,DOC-2401-386035,Liquidación y cobro de factura por transferencia ref: DOC-2401-386035
GL-2024-00000007,1,2024-01-01,2024-01-01 01:01:09,ENT-03,CC-200,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,DEBIT,COP,13741867.75,0.0002536460154885451,3485.57,DOC-2401-294444,Facturación suscripción anual SaaS cliente ref: DOC-2401-294444
GL-2024-00000007,2,2024-01-01,2024-01-01 01:01:09,ENT-03,CC-200,4.1.01.01,Ingresos por Suscripciones SaaS y Licencias,INCOME_STATEMENT,INGRESOS,CREDIT,COP,13741867.75,0.0002536460154885451,3485.57,DOC-2401-294444,Facturación suscripción anual SaaS cliente ref: DOC-2401-294444
GL-2024-00000008,1,2024-01-01,2024-01-01 01:21:22,ENT-03,CC-200,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,DEBIT,COP,17082507.65,0.0002536460154885451,4332.91,DOC-2401-509562,Facturación suscripción anual SaaS cliente ref: DOC-2401-509562
GL-2024-00000008,2,2024-01-01,2024-01-01 01:21:22,ENT-03,CC-200,4.1.01.01,Ingresos por Suscripciones SaaS y Licencias,INCOME_STATEMENT,INGRESOS,CREDIT,COP,17082507.65,0.0002536460154885451,4332.91,DOC-2401-509562,Facturación suscripción anual SaaS cliente ref: DOC-2401-509562
GL-2024-00000009,1,2024-01-01,2024-01-01 01:26:59,ENT-01,CC-100,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,USD,39289.08,1.0,39289.08,DOC-2401-223558,Liquidación y cobro de factura por transferencia ref: DOC-2401-223558
GL-2024-00000009,2,2024-01-01,2024-01-01 01:26:59,ENT-01,CC-100,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,CREDIT,USD,39289.08,1.0,39289.08,DOC-2401-223558,Liquidación y cobro de factura por transferencia ref: DOC-2401-223558
GL-2024-00000010,1,2024-01-01,2024-01-01 01:28:48,ENT-02,CC-200,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,DEBIT,EUR,5477.54,1.080609434159509,5919.08,DOC-2401-749794,Facturación suscripción anual SaaS cliente ref: DOC-2401-749794
GL-2024-00000010,2,2024-01-01,2024-01-01 01:28:48,ENT-02,CC-200,4.1.01.01,Ingresos por Suscripciones SaaS y Licencias,INCOME_STATEMENT,INGRESOS,CREDIT,EUR,5477.54,1.080609434159509,5919.08,DOC-2401-749794,Facturación suscripción anual SaaS cliente ref: DOC-2401-749794
GL-2024-00000011,1,2024-01-01,2024-01-01 01:28:58,ENT-01,CC-400,6.3.01.01,"Gastos de Infraestructura Cloud (AWS, Databricks, Snowflake)",INCOME_STATEMENT,GASTOS,DEBIT,USD,6832.91,1.0,6832.91,DOC-2401-780442,"Consumo de clusters Databricks, Snowflake y AWS ref: DOC-2401-780442"
GL-2024-00000011,2,2024-01-01,2024-01-01 01:28:58,ENT-01,CC-400,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,CREDIT,USD,6832.91,1.0,6832.91,DOC-2401-780442,"Consumo de clusters Databricks, Snowflake y AWS ref: DOC-2401-780442"
GL-2024-00000012,1,2024-01-01,2024-01-01 01:37:44,ENT-04,CC-100,2.1.01.01,Cuentas por Pagar Proveedores,BALANCE_SHEET,PASIVO,DEBIT,VES,760735.82,0.027863444255095928,21196.72,DOC-2401-743418,Pago electrónico a proveedor de hardware ref: DOC-2401-743418
GL-2024-00000012,2,2024-01-01,2024-01-01 01:37:44,ENT-04,CC-100,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,CREDIT,VES,760735.82,0.027863444255095928,21196.72,DOC-2401-743418,Pago electrónico a proveedor de hardware ref: DOC-2401-743418
GL-2024-00000013,1,2024-01-01,2024-01-01 01:43:23,ENT-02,CC-100,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,EUR,15554.23,1.080609434159509,16808.05,DOC-2401-816367,Liquidación y cobro de factura por transferencia ref: DOC-2401-816367
GL-2024-00000013,2,2024-01-01,2024-01-01 01:43:23,ENT-02,CC-100,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,CREDIT,EUR,15554.23,1.080609434159509,16808.05,DOC-2401-816367,Liquidación y cobro de factura por transferencia ref: DOC-2401-816367
GL-2024-00000014,1,2024-01-01,2024-01-01 01:45:16,ENT-03,CC-100,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,COP,24054783.55,0.0002536460154885451,6101.4,DOC-2401-784977,Liquidación y cobro de factura por transferencia ref: DOC-2401-784977
GL-2024-00000014,2,2024-01-01,2024-01-01 01:45:16,ENT-03,CC-100,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,CREDIT,COP,24054783.55,0.0002536460154885451,6101.4,DOC-2401-784977,Liquidación y cobro de factura por transferencia ref: DOC-2401-784977
GL-2024-00000015,1,2024-01-01,2024-01-01 01:55:24,ENT-01,CC-400,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,USD,6870.93,1.0,6870.93,DOC-2401-818736,Servicios profesionales de ingeniería y datos ref: DOC-2401-818736
GL-2024-00000015,2,2024-01-01,2024-01-01 01:55:24,ENT-01,CC-400,4.1.02.01,Ingresos por Servicios de Consultoría e Implementación,INCOME_STATEMENT,INGRESOS,CREDIT,USD,6870.93,1.0,6870.93,DOC-2401-818736,Servicios profesionales de ingeniería y datos ref: DOC-2401-818736
GL-2024-00000016,1,2024-01-01,2024-01-01 01:59:40,ENT-01,CC-400,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,USD,20613.72,1.0,20613.72,DOC-2401-665291,Servicios profesionales de ingeniería y datos ref: DOC-2401-665291
GL-2024-00000016,2,2024-01-01,2024-01-01 01:59:40,ENT-01,CC-400,4.1.02.01,Ingresos por Servicios de Consultoría e Implementación,INCOME_STATEMENT,INGRESOS,CREDIT,USD,20613.72,1.0,20613.72,DOC-2401-665291,Servicios profesionales de ingeniería y datos ref: DOC-2401-665291
GL-2024-00000017,1,2024-01-01,2024-01-01 02:10:59,ENT-02,CC-100,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,EUR,33545.39,1.080609434159509,36249.46,DOC-2401-305035,Liquidación y cobro de factura por transferencia ref: DOC-2401-305035
GL-2024-00000017,2,2024-01-01,2024-01-01 02:10:59,ENT-02,CC-100,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,CREDIT,EUR,33545.39,1.080609434159509,36249.46,DOC-2401-305035,Liquidación y cobro de factura por transferencia ref: DOC-2401-305035
GL-2024-00000018,1,2024-01-01,2024-01-01 02:20:01,ENT-01,CC-100,6.1.03.01,Gasto de Depreciación y Amortización,INCOME_STATEMENT,GASTOS,DEBIT,USD,6703.82,1.0,6703.82,DOC-2401-740108,Asiento de ajuste mensual por depreciación lineal ref: DOC-2401-740108
GL-2024-00000018,2,2024-01-01,2024-01-01 02:20:01,ENT-01,CC-100,1.2.02.01,Depreciación Acumulada de Equipos,BALANCE_SHEET,ACTIVO,CREDIT,USD,6703.82,1.0,6703.82,DOC-2401-740108,Asiento de ajuste mensual por depreciación lineal ref: DOC-2401-740108
GL-2024-00000019,1,2024-01-01,2024-01-01 02:26:46,ENT-03,CC-200,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,DEBIT,COP,147932976.31,0.0002536460154885451,37522.61,DOC-2401-514081,Facturación suscripción anual SaaS cliente ref: DOC-2401-514081
GL-2024-00000019,2,2024-01-01,2024-01-01 02:26:46,ENT-03,CC-200,4.1.01.01,Ingresos por Suscripciones SaaS y Licencias,INCOME_STATEMENT,INGRESOS,CREDIT,COP,147932976.31,0.0002536460154885451,37522.61,DOC-2401-514081,Facturación suscripción anual SaaS cliente ref: DOC-2401-514081
GL-2024-00000020,1,2024-01-01,2024-01-01 02:32:37,ENT-02,CC-300,5.1.01.01,Costo de Ventas - Infraestructura de Entrega,INCOME_STATEMENT,COSTOS,DEBIT,EUR,4171.37,1.080609434159509,4507.62,DOC-2401-834254,Reconocimiento de costo directo por entrega de servicio ref: DOC-2401-834254
GL-2024-00000020,2,2024-01-01,2024-01-01 02:32:37,ENT-02,CC-300,1.1.04.01,Inventario de Servidores y Equipos,BALANCE_SHEET,ACTIVO,CREDIT,EUR,4171.37,1.080609434159509,4507.62,DOC-2401-834254,Reconocimiento de costo directo por entrega de servicio ref: DOC-2401-834254
GL-2024-00000021,1,2024-01-01,2024-01-01 02:33:50,ENT-03,CC-300,1.1.04.01,Inventario de Servidores y Equipos,BALANCE_SHEET,ACTIVO,DEBIT,COP,132208424.15,0.0002536460154885451,33534.14,DOC-2401-213899,Adquisición de racks y hardware especializado ref: DOC-2401-213899
GL-2024-00000021,2,2024-01-01,2024-01-01 02:33:50,ENT-03,CC-300,2.1.01.01,Cuentas por Pagar Proveedores,BALANCE_SHEET,PASIVO,CREDIT,COP,132208424.15,0.0002536460154885451,33534.14,DOC-2401-213899,Adquisición de racks y hardware especializado ref: DOC-2401-213899
GL-2024-00000022,1,2024-01-01,2024-01-01 02:52:02,ENT-01,CC-100,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,USD,22545.3,1.0,22545.3,DOC-2401-639215,Liquidación y cobro de factura por transferencia ref: DOC-2401-639215
GL-2024-00000022,2,2024-01-01,2024-01-01 02:52:02,ENT-01,CC-100,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,CREDIT,USD,22545.3,1.0,22545.3,DOC-2401-639215,Liquidación y cobro de factura por transferencia ref: DOC-2401-639215
GL-2024-00000023,1,2024-01-01,2024-01-01 03:00:04,ENT-04,CC-200,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,DEBIT,VES,590152.81,0.027863444255095928,16443.69,DOC-2401-628722,Facturación suscripción anual SaaS cliente ref: DOC-2401-628722
GL-2024-00000023,2,2024-01-01,2024-01-01 03:00:04,ENT-04,CC-200,4.1.01.01,Ingresos por Suscripciones SaaS y Licencias,INCOME_STATEMENT,INGRESOS,CREDIT,VES,590152.81,0.027863444255095928,16443.69,DOC-2401-628722,Facturación suscripción anual SaaS cliente ref: DOC-2401-628722
GL-2024-00000024,1,2024-01-01,2024-01-01 03:25:27,ENT-04,CC-300,5.1.01.01,Costo de Ventas - Infraestructura de Entrega,INCOME_STATEMENT,COSTOS,DEBIT,VES,360878.57,0.027863444255095928,10055.32,DOC-2401-711241,Reconocimiento de costo directo por entrega de servicio ref: DOC-2401-711241
GL-2024-00000024,2,2024-01-01,2024-01-01 03:25:27,ENT-04,CC-300,1.1.04.01,Inventario de Servidores y Equipos,BALANCE_SHEET,ACTIVO,CREDIT,VES,360878.57,0.027863444255095928,10055.32,DOC-2401-711241,Reconocimiento de costo directo por entrega de servicio ref: DOC-2401-711241
GL-2024-00000025,1,2024-01-01,2024-01-01 03:38:26,ENT-03,CC-200,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,DEBIT,COP,26757487.15,0.0002536460154885451,6786.93,DOC-2401-180378,Facturación suscripción anual SaaS cliente ref: DOC-2401-180378
GL-2024-00000025,2,2024-01-01,2024-01-01 03:38:26,ENT-03,CC-200,4.1.01.01,Ingresos por Suscripciones SaaS y Licencias,INCOME_STATEMENT,INGRESOS,CREDIT,COP,26757487.15,0.0002536460154885451,6786.93,DOC-2401-180378,Facturación suscripción anual SaaS cliente ref: DOC-2401-180378
GL-2024-00000026,1,2024-01-01,2024-01-01 03:55:03,ENT-01,CC-300,5.1.01.01,Costo de Ventas - Infraestructura de Entrega,INCOME_STATEMENT,COSTOS,DEBIT,USD,5154.52,1.0,5154.52,DOC-2401-863463,Reconocimiento de costo directo por entrega de servicio ref: DOC-2401-863463
GL-2024-00000026,2,2024-01-01,2024-01-01 03:55:03,ENT-01,CC-300,1.1.04.01,Inventario de Servidores y Equipos,BALANCE_SHEET,ACTIVO,CREDIT,USD,5154.52,1.0,5154.52,DOC-2401-863463,Reconocimiento de costo directo por entrega de servicio ref: DOC-2401-863463
GL-2024-00000027,1,2024-01-01,2024-01-01 03:55:38,ENT-02,CC-100,2.1.01.01,Cuentas por Pagar Proveedores,BALANCE_SHEET,PASIVO,DEBIT,EUR,51700.32,1.080609434159509,55867.85,DOC-2401-866109,Pago electrónico a proveedor de hardware ref: DOC-2401-866109
GL-2024-00000027,2,2024-01-01,2024-01-01 03:55:38,ENT-02,CC-100,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,CREDIT,EUR,51700.32,1.080609434159509,55867.85,DOC-2401-866109,Pago electrónico a proveedor de hardware ref: DOC-2401-866109
GL-2024-00000028,1,2024-01-01,2024-01-01 04:02:13,ENT-01,CC-100,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,USD,10077.55,1.0,10077.55,DOC-2401-175696,Liquidación y cobro de factura por transferencia ref: DOC-2401-175696
GL-2024-00000028,2,2024-01-01,2024-01-01 04:02:13,ENT-01,CC-100,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,CREDIT,USD,10077.55,1.0,10077.55,DOC-2401-175696,Liquidación y cobro de factura por transferencia ref: DOC-2401-175696
GL-2024-00000029,1,2024-01-01,2024-01-01 04:12:09,ENT-01,CC-200,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,DEBIT,USD,26642.31,1.0,26642.31,DOC-2401-294481,Facturación suscripción anual SaaS cliente ref: DOC-2401-294481
GL-2024-00000029,2,2024-01-01,2024-01-01 04:12:09,ENT-01,CC-200,4.1.01.01,Ingresos por Suscripciones SaaS y Licencias,INCOME_STATEMENT,INGRESOS,CREDIT,USD,26642.31,1.0,26642.31,DOC-2401-294481,Facturación suscripción anual SaaS cliente ref: DOC-2401-294481
GL-2024-00000030,1,2024-01-01,2024-01-01 04:23:34,ENT-02,CC-300,1.1.04.01,Inventario de Servidores y Equipos,BALANCE_SHEET,ACTIVO,DEBIT,EUR,45101.95,1.080609434159509,48737.59,DOC-2401-138169,Adquisición de racks y hardware especializado ref: DOC-2401-138169
GL-2024-00000030,2,2024-01-01,2024-01-01 04:23:34,ENT-02,CC-300,2.1.01.01,Cuentas por Pagar Proveedores,BALANCE_SHEET,PASIVO,CREDIT,EUR,45101.95,1.080609434159509,48737.59,DOC-2401-138169,Adquisición de racks y hardware especializado ref: DOC-2401-138169
GL-2024-00000031,1,2024-01-01,2024-01-01 04:24:45,ENT-03,CC-100,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,COP,27288384.51,0.0002536460154885451,6921.59,DOC-2401-301097,Liquidación y cobro de factura por transferencia ref: DOC-2401-301097
GL-2024-00000031,2,2024-01-01,2024-01-01 04:24:45,ENT-03,CC-100,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,CREDIT,COP,27288384.51,0.0002536460154885451,6921.59,DOC-2401-301097,Liquidación y cobro de factura por transferencia ref: DOC-2401-301097
GL-2024-00000032,1,2024-01-01,2024-01-01 04:25:55,ENT-04,CC-500,6.1.01.01,Gastos de Salarios y Prestaciones de Personal,INCOME_STATEMENT,GASTOS,DEBIT,VES,4806745.67,0.027863444255095928,133932.49,DOC-2401-632913,Dispersión de nómina y cargas laborales ref: DOC-2401-632913
GL-2024-00000032,2,2024-01-01,2024-01-01 04:25:55,ENT-04,CC-500,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,CREDIT,VES,4806745.67,0.027863444255095928,133932.49,DOC-2401-632913,Dispersión de nómina y cargas laborales ref: DOC-2401-632913
GL-2024-00000033,1,2024-01-01,2024-01-01 04:26:11,ENT-01,CC-100,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,USD,9869.47,1.0,9869.47,DOC-2401-600663,Liquidación y cobro de factura por transferencia ref: DOC-2401-600663
GL-2024-00000033,2,2024-01-01,2024-01-01 04:26:11,ENT-01,CC-100,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,CREDIT,USD,9869.47,1.0,9869.47,DOC-2401-600663,Liquidación y cobro de factura por transferencia ref: DOC-2401-600663
GL-2024-00000034,1,2024-01-01,2024-01-01 04:27:56,ENT-01,CC-200,6.2.01.01,"Gastos de Publicidad, Pauta Digital y Eventos",INCOME_STATEMENT,GASTOS,DEBIT,USD,17453.62,1.0,17453.62,DOC-2401-241695,Inversión en pauta publicitaria SEM y social ads ref: DOC-2401-241695
GL-2024-00000034,2,2024-01-01,2024-01-01 04:27:56,ENT-01,CC-200,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,CREDIT,USD,17453.62,1.0,17453.62,DOC-2401-241695,Inversión en pauta publicitaria SEM y social ads ref: DOC-2401-241695
GL-2024-00000035,1,2024-01-01,2024-01-01 04:30:23,ENT-02,CC-200,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,DEBIT,EUR,41239.2,1.080609434159509,44563.47,DOC-2401-420669,Facturación suscripción anual SaaS cliente ref: DOC-2401-420669
GL-2024-00000035,2,2024-01-01,2024-01-01 04:30:23,ENT-02,CC-200,4.1.01.01,Ingresos por Suscripciones SaaS y Licencias,INCOME_STATEMENT,INGRESOS,CREDIT,EUR,41239.2,1.080609434159509,44563.47,DOC-2401-420669,Facturación suscripción anual SaaS cliente ref: DOC-2401-420669
GL-2024-00000036,1,2024-01-01,2024-01-01 04:32:10,ENT-01,CC-100,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,USD,40097.54,1.0,40097.54,DOC-2401-762790,Liquidación y cobro de factura por transferencia ref: DOC-2401-762790
GL-2024-00000036,2,2024-01-01,2024-01-01 04:32:10,ENT-01,CC-100,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,CREDIT,USD,40097.54,1.0,40097.54,DOC-2401-762790,Liquidación y cobro de factura por transferencia ref: DOC-2401-762790
GL-2024-00000037,1,2024-01-01,2024-01-01 04:44:49,ENT-01,CC-400,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,USD,11194.57,1.0,11194.57,DOC-2401-885780,Servicios profesionales de ingeniería y datos ref: DOC-2401-885780
GL-2024-00000037,2,2024-01-01,2024-01-01 04:44:49,ENT-01,CC-400,4.1.02.01,Ingresos por Servicios de Consultoría e Implementación,INCOME_STATEMENT,INGRESOS,CREDIT,USD,11194.57,1.0,11194.57,DOC-2401-885780,Servicios profesionales de ingeniería y datos ref: DOC-2401-885780
GL-2024-00000038,1,2024-01-01,2024-01-01 04:59:23,ENT-02,CC-400,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,EUR,17836.93,1.080609434159509,19274.75,DOC-2401-676325,Servicios profesionales de ingeniería y datos ref: DOC-2401-676325
GL-2024-00000038,2,2024-01-01,2024-01-01 04:59:23,ENT-02,CC-400,4.1.02.01,Ingresos por Servicios de Consultoría e Implementación,INCOME_STATEMENT,INGRESOS,CREDIT,EUR,17836.93,1.080609434159509,19274.75,DOC-2401-676325,Servicios profesionales de ingeniería y datos ref: DOC-2401-676325
GL-2024-00000039,1,2024-01-01,2024-01-01 05:03:07,ENT-01,CC-400,6.3.01.01,"Gastos de Infraestructura Cloud (AWS, Databricks, Snowflake)",INCOME_STATEMENT,GASTOS,DEBIT,USD,10614.0,1.0,10614.0,DOC-2401-995271,"Consumo de clusters Databricks, Snowflake y AWS ref: DOC-2401-995271"
GL-2024-00000039,2,2024-01-01,2024-01-01 05:03:07,ENT-01,CC-400,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,CREDIT,USD,10614.0,1.0,10614.0,DOC-2401-995271,"Consumo de clusters Databricks, Snowflake y AWS ref: DOC-2401-995271"
GL-2024-00000040,1,2024-01-01,2024-01-01 05:07:18,ENT-02,CC-200,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,DEBIT,EUR,2080.26,1.080609434159509,2247.95,DOC-2401-791488,Facturación suscripción anual SaaS cliente ref: DOC-2401-791488
GL-2024-00000040,2,2024-01-01,2024-01-01 05:07:18,ENT-02,CC-200,4.1.01.01,Ingresos por Suscripciones SaaS y Licencias,INCOME_STATEMENT,INGRESOS,CREDIT,EUR,2080.26,1.080609434159509,2247.95,DOC-2401-791488,Facturación suscripción anual SaaS cliente ref: DOC-2401-791488
GL-2024-00000041,1,2024-01-01,2024-01-01 05:07:31,ENT-01,CC-500,6.1.01.01,Gastos de Salarios y Prestaciones de Personal,INCOME_STATEMENT,GASTOS,DEBIT,USD,138002.87,1.0,138002.87,DOC-2401-870513,Dispersión de nómina y cargas laborales ref: DOC-2401-870513
GL-2024-00000041,2,2024-01-01,2024-01-01 05:07:31,ENT-01,CC-500,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,CREDIT,USD,138002.87,1.0,138002.87,DOC-2401-870513,Dispersión de nómina y cargas laborales ref: DOC-2401-870513
GL-2024-00000042,1,2024-01-01,2024-01-01 05:16:06,ENT-03,CC-200,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,DEBIT,COP,108508071.56,0.0002536460154885451,27522.64,DOC-2401-410432,Facturación suscripción anual SaaS cliente ref: DOC-2401-410432
GL-2024-00000042,2,2024-01-01,2024-01-01 05:16:06,ENT-03,CC-200,4.1.01.01,Ingresos por Suscripciones SaaS y Licencias,INCOME_STATEMENT,INGRESOS,CREDIT,COP,108508071.56,0.0002536460154885451,27522.64,DOC-2401-410432,Facturación suscripción anual SaaS cliente ref: DOC-2401-410432
GL-2024-00000043,1,2024-01-01,2024-01-01 05:16:54,ENT-03,CC-100,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,COP,37756201.22,0.0002536460154885451,9576.71,DOC-2401-126149,Liquidación y cobro de factura por transferencia ref: DOC-2401-126149
GL-2024-00000043,2,2024-01-01,2024-01-01 05:16:54,ENT-03,CC-100,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,CREDIT,COP,37756201.22,0.0002536460154885451,9576.71,DOC-2401-126149,Liquidación y cobro de factura por transferencia ref: DOC-2401-126149
GL-2024-00000044,1,2024-01-01,2024-01-01 05:26:56,ENT-01,CC-200,1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,DEBIT,USD,19231.84,1.0,19231.84,DOC-2401-294952,Facturación suscripción anual SaaS cliente ref: DOC-2401-294952
GL-2024-00000044,2,2024-01-01,2024-01-01 05:26:56,ENT-01,CC-200,4.1.01.01,Ingresos por Suscripciones SaaS y Licencias,INCOME_STATEMENT,INGRESOS,CREDIT,USD,19231.84,1.0,19231.84,DOC-2401-294952,Facturación suscripción anual SaaS cliente ref: DOC-2401-294952
GL-2024-00000045,1,2024-01-01,2024-01-01 05:35:29,ENT-03,CC-100,2.1.01.01,Cuentas por Pagar Proveedores,BALANCE_SHEET,PASIVO,DEBIT,COP,114254702.34,0.0002536460154885451,28980.25,DOC-2401-373724,Pago electrónico a proveedor de hardware ref: DOC-2401-373724
GL-2024-00000045,2,2024-01-01,2024-01-01 05:35:29,ENT-03,CC-100,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,CREDIT,COP,114254702.34,0.0002536460154885451,28980.25,DOC-2401-373724,Pago electrónico a proveedor de hardware ref: DOC-2401-373724
